,Country,Area,Began,Ended,MainCause,Severity,ISO3,Year Month
3249,Indonesia,2178.65,2008-01-02,2008-01-06,Heavy rain,1.0,IDN,2008-01
3250,Australia,41557.41,2008-01-03,2008-01-09,Heavy rain,1.5,AUS,2008-01
3251,USA,551.192,2008-01-05,2008-01-09,"Dam/Levy, break or release",1.0,USA,2008-01
3252,Sri Lanka,1917.83,2008-01-07,2008-01-16,Heavy rain,1.0,LKA,2008-01
3253,USA,102262.86,2008-01-08,2008-01-15,Rain and snowmelt,1.5,USA,2008-01
3254,Brazil,23022.69,2008-01-12,2008-01-26,Heavy rain,1.0,BRA,2008-01
3255,Australia,649465.5,2008-01-14,2008-02-01,Heavy rain,2.0,AUS,2008-01
3256,Afghanistan,18278.94,2008-01-13,2008-01-20,Heavy rain,1.0,AFG,2008-01
3257,UK,55862.29,2008-01-15,2008-01-26,Heavy rain,2.0,UGA,2008-01
3258,South Africa,72005.68,2008-01-24,2008-02-01,Heavy rain,1.0,ZAF,2008-01
3259,Argentina,88120.94,2008-01-28,2008-04-11,Heavy rain,1.0,ARG,2008-01
3260,Indonesia,814.734,2008-01-30,2008-02-03,Heavy rain,1.0,IDN,2008-01
3261,Ecuador,75830.05,2008-01-30,2008-05-01,Heavy rain,2.0,ECU,2008-01
3262,Namibia,164248.45,2008-01-31,2008-04-23,Heavy rain,1.5,NAM,2008-01
3263,Indonesia,377.907,2008-02-01,2008-02-06,Heavy rain,1.0,IDN,2008-02
3264,Brazil,291.287,2008-02-02,2008-02-07,Brief torrential rain,1.0,BRA,2008-02
3265,Peru,709143.74,2008-02-04,2008-05-07,Heavy rain,1.0,PER,2008-02
3266,USA,118976.95,2008-02-06,2008-02-12,Rain and snowmelt,1.5,USA,2008-02
3267,Indonesia,403.386,2008-02-08,2008-02-12,Heavy rain,1.0,IDN,2008-02
3268,Australia,44348.71,2008-02-13,2008-02-26,Heavy rain,2.0,AUS,2008-02
3269,Indonesia,10434.86,2008-02-14,2008-03-14,Heavy rain,1.0,IDN,2008-02
3270,Zambia,438919.74,2008-02-09,2008-05-01,Heavy rain,1.0,ZMB,2008-02
3271,Philippines,41665.93,2008-02-12,2008-03-12,Heavy rain,1.0,PHL,2008-02
3272,Madagascar,371875.01,2008-02-17,2008-03-05,Tropical cyclone,1.0,MDG,2008-02
3273,China,17161.6,2008-02-01,2008-02-25,Ice jam/break-up,1.0,CHN,2008-02
3274,Indonesia,10584.71,2008-02-11,2008-03-01,Heavy rain,1.0,IDN,2008-02
3275,Kazakhstan,51582.18,2008-02-20,2008-03-13,Rain and snowmelt,1.0,KAZ,2008-02
3276,Iran,108379.15,2008-01-13,2008-01-29,Heavy rain,1.0,IRN,2008-01
3277,Morocco,23601.1,2008-02-26,2008-02-28,Heavy rain,1.0,MAR,2008-02
3278,Indonesia,16854.48,2008-03-01,2008-04-03,Heavy rain,1.0,IDN,2008-03
3279,Malaysia,36069.76,2008-03-05,2008-03-14,Heavy rain,1.0,MYS,2008-03
3280,China,64010.29,2008-03-03,2008-04-01,Ice jam/break-up,1.5,CHN,2008-03
3281,Colombia,3994.26,2008-03-11,2008-03-15,Heavy rain,1.0,COL,2008-03
3282,Sri Lanka,43223.16,2008-03-12,2008-03-31,Monsoonal rain,1.0,LKA,2008-03
3283,USA,928709.92,2008-03-17,2008-05-02,Rain and snowmelt,1.5,USA,2008-03
3284,India,144329.28,2008-03-20,2008-03-27,Heavy rain,1.0,IND,2008-03
3285,Kenya,21278.67,2008-03-20,2008-04-02,Heavy rain,1.0,KEN,2008-03
3286,Indonesia,80094.9,2008-03-10,2008-04-03,Heavy rain,1.0,IDN,2008-03
3287,Kenya,50222.63,2008-03-17,2008-04-05,Heavy rain,1.0,KEN,2008-03
3288,Kenya,3971.84,2008-03-28,2008-04-02,Heavy rain,1.0,KEN,2008-03
3289,Brazil,1126557.79,2008-03-30,2008-04-22,Heavy rain,1.0,BRA,2008-03
3290,Canada,22895.95,2008-04-10,2008-04-24,Snowmelt,1.5,CAN,2008-04
3291,Kenya,236.539,2008-04-20,2008-04-22,Heavy rain,1.5,KEN,2008-04
3292,Tanzania,15130.83,2008-04-11,2008-05-16,Heavy rain,1.0,TZA,2008-04
3293,China,20737.17,2008-04-20,2008-04-23,Heavy rain,1.0,CHN,2008-04
3294,Indonesia,4197.22,2008-04-23,2008-04-27,Heavy rain,1.0,IDN,2008-04
3295,Australia,998.581,2008-04-24,2008-04-27,Heavy rain,1.0,AUS,2008-04
3296,Canada,3178.36,2008-04-26,2008-05-01,Ice jam/break-up,1.0,CAN,2008-04
3297,Sri Lanka,4935.68,2008-04-27,2008-05-03,Heavy rain,1.0,LKA,2008-04
3298,USA,25489.82,2008-04-25,2008-05-07,Rain and snowmelt,1.5,USA,2008-04
3299,China,43958.62,2008-05-02,2008-05-05,Heavy rain,1.0,CHN,2008-05
3300,Burma,81435.12,2008-05-03,2008-05-22,Tropical cyclone,1.5,ZZZ,2008-05
3301,Algeria,20668.51,2008-05-10,2008-05-12,Heavy rain,1.0,DZA,2008-05
3302,Vietnam,5301.17,2008-05-11,2008-05-12,Heavy rain,1.0,VNM,2008-05
3303,Philippines,26746.42,2008-05-10,2008-05-18,Tropical cyclone,1.0,PHL,2008-05
3304,Russia,595263.27,2008-05-12,2008-05-25,Ice jam/break-up,1.0,RUS,2008-05
3305,Philippines,14848.59,2008-05-18,2008-05-22,Tropical cyclone,1.0,PHL,2008-05
3306,Chile,110526.17,2008-05-19,2008-05-27,Heavy rain,1.0,CHL,2008-05
3307,China,144704.15,2008-05-27,2008-06-05,Heavy rain,1.0,CHN,2008-05
3308,Columbia,35530.63,2008-05-27,2008-05-28,Heavy rain,1.0,CAN,2008-05
3309,India,62279.3,2008-05-24,2008-05-28,Heavy rain,1.0,IND,2008-05
3310,USA,337703.28,2008-05-24,2008-06-05,Heavy rain,1.0,USA,2008-05
3311,Sri Lanka,40665.23,2008-05-29,2008-06-05,Monsoonal rain,1.5,LKA,2008-05
3312,France,154307.03,2008-06-01,2008-06-03,Heavy rain,1.0,FRA,2008-06
3313,Belize,33638.36,2008-05-31,2008-06-05,Tropical Storm Arthur,1.0,BLZ,2008-05
