,ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,AFG,1.4291578568842018,1.4307072617623426,1.3744782124074808,1.3496673792948672,1.3369712566083645,1.312632109139794,1.3772805288830732,1.4398074562510343,1.8735667760658605,1.981450436062414,1.1392199776164575,1.1287688753374567,1.0505382622312736,1.0406783704067029,0.9872271192959158,1.1911904552691306,1.0717775116031243,1.2093113268430502,1.1240569173717903,1.3200665753930954,1.3700011826676382,1.3838503139203018,1.1834252870059716,1.1451756684809737,1.2688094467510833,1.147907297865562,1.2162064191758317
1,ALB,4.020500014989539,3.9993705813346865,3.9128865137859,3.7653500611855177,3.6247961806829565,3.61316169054458,3.631175550527903,3.6935232102462927,3.8213693960804673,4.155958335505093,3.9123517972716,3.904650570706207,3.9556579216206185,4.124914910119161,4.288850235724738,4.386442422583752,4.447476087485175,4.57612473964492,4.615342948503142,4.847365911917415,4.961070433018007,4.900956929836439,4.83199732320597,4.97185009720143,4.937754319393922,4.902919195245743,4.952437079606119
2,DZA,4.027441938187838,4.031416418539688,3.9397092269042178,3.8847154264499646,3.9421304510207635,3.98873237517326,3.9893180065327742,3.972643688792134,4.243627414401805,4.521136943128666,4.37243089261479,4.113363448661282,4.03311420206799,4.063697785438196,3.9858152987824447,3.883350428108043,3.8495688914969293,3.819039257417627,3.898320465308699,3.848243507828397,3.9069020799351293,4.004699823197415,4.178441879245813,4.211214981057722,4.262342932308075,4.275954363445126,4.348180527855641
3,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AGO,1.4688811558901282,1.467666712927076,1.3773764604503267,1.2897408065573388,1.2812098304621697,1.2591518512733268,1.2877375324576101,1.365823739843516,1.7682908632094094,1.9689792925394514,1.6870657799700404,1.7326301864971287,1.7449283284955899,1.8427069912091567,1.8278736323811153,1.7056703081101912,1.7415913029036734,1.8271562898571105,1.839328282814923,1.866580994725537,1.8873551715212735,2.1118661802365235,2.066836011345785,2.1538515851523607,2.2010972269126268,2.181205804479158,2.2796123576634244
5,ATG,4.886471361629404,4.872285261777137,4.8277571938301005,4.786682535346861,4.75923450198736,4.766431203883432,4.744593984995419,4.744414510367279,4.932907639730938,5.0646742402597456,5.021722864217146,4.853834417863002,4.801070946185398,4.857704250645201,4.832339872871485,4.89204906243607,4.849057765132719,4.864087512986024,4.777579143066983,4.564075112910691,4.621422677381351,4.587046604412702,4.38526047583258,4.522550034510476,4.663795855913962,4.632149629979667,4.606355141782111
6,ARG,5.20733851830942,5.209831982046022,5.074983145001381,4.9763440755982105,4.953183382262527,4.957061677321734,4.5769403486177,4.280499691592969,4.572568510839924,4.674033922083226,4.810387803374415,4.58815990314974,4.616372816073742,4.5204373252175705,4.429929807759569,4.504652276768431,4.586856538708199,4.498891091557735,4.349274278893611,4.2262745351138555,4.27903327985785,4.632617644914144,4.624972485548246,4.688425870742182,4.728888624741947,4.757595764040383,4.715106682483379
7,ARM,4.876791495323839,4.920469105477943,4.734026595435045,4.80699599473551,4.891020250899276,4.915594543471858,4.91688770100042,5.2898675110201845,5.587627941837839,5.527953937068057,5.538537450394694,5.343931022627443,5.310976113686378,5.561590659552867,5.448005584636628,5.499554855684337,5.452329079627692,5.507615289486917,5.597458932799694,5.703884959446965,5.785057894580461,5.908739365030211,5.891021323793822,6.069903601695254,6.237280000641877,6.185378056906164,6.226047528348722
8,AUS,8.609135852507,8.600819560271724,8.557243513739374,8.570931111231362,8.60452045621965,8.686922203259273,8.710634212916815,8.654488786865542,8.73367871610348,8.881809252933714,8.713347544804206,8.810620235001355,8.764811197790362,8.761994699775343,8.589723663755965,8.577753446523136,8.657338372065217,8.697762478099,8.728156473214405,8.640085719283366,8.613494754008453,8.69227622412932,8.545564836478631,8.682546216679226,8.768835490825959,8.684127287704454,8.72854713481606
9,AUT,9.033523671223605,9.035045640019717,9.014204751069878,8.985616847293036,9.017858189427846,9.060015019305665,9.10374342388915,9.089136297858076,9.058012186604445,9.160485311767747,9.045272089194242,8.963742020286764,8.97736014896773,8.857559488539493,8.608740167690904,8.608898293991217,8.6464911744012,8.743156634564095,8.781583525075924,8.777154068967112,8.789576549138742,8.725602984602428,8.756842662228536,8.845312526020086,8.860327385282707,8.916522354019087,8.895309273653279
10,AZE,3.9566889223915513,3.899275070219766,3.9681734661770096,3.987632475363635,3.945266583340277,3.9324526897326173,4.065224228949119,4.512260391404731,4.741105694711994,4.946104561040646,4.87720477657026,4.414673800809318,4.3621717726967715,4.362538583728821,4.67481195193542,4.5557615013917125,4.662360339960824,4.601326623588214,4.782926129405373,4.9894894042666875,5.096108873436788,5.297790092660161,5.147547310846835,5.227115768453218,5.490233955746161,5.330329173349226,5.48123644996532
11,BHS,5.060918764877477,5.056748305197693,5.031847674364549,5.006299634126479,5.007081676400399,5.05382140717984,5.0685777873971185,5.066903139068528,5.16883330732658,5.320461749714599,5.393829303096212,6.006864942127878,5.949275033523041,4.96228025027034,4.779311858617206,4.75547851089911,4.833032719456113,4.87003978173054,4.724150907857273,4.732584748748042,4.671770055029848,4.603581762629785,4.489878855587701,4.490905134019004,4.5515068688689,4.477879398446594,4.539279287520869
12,BHR,4.333291468160872,4.301953121825011,4.314629062041631,4.346481098302663,4.36117582468187,4.415584992974023,4.531822620644629,4.631010196693551,4.754337636041976,4.945271265786413,4.914982838491893,5.543653129574664,5.622514736835134,5.006500285031032,5.042362556506288,4.977641860380115,5.094043560616383,5.077535317658985,5.019212437038276,5.146396434769058,5.145767595264722,5.089209020563684,4.977014654120464,5.0295893189486875,5.145330126185463,5.4506206280617695,5.616910835902594
13,BGD,2.1844668265875264,2.1954296524311814,2.074493972268934,2.1591993413293973,2.0929223215214945,2.029220881955893,1.9059475078961872,1.8397782100722506,2.0094772004267765,2.1237591545702896,2.2966783235647754,3.3945230168100915,3.3531328518521515,3.483911966583812,3.487758047587424,3.7838048038665093,3.880635987017574,3.8681299909288014,3.783742785822501,1.795371094942873,1.8487634877129495,2.038883891431684,2.047411749539696,2.1296864414624177,2.1334783539325834,2.1523869354084906,2.194363299624474
14,BRB,6.373036720127146,6.342316225215906,6.318572837439276,6.309372943344403,6.307952055079326,6.396873607104146,6.36370682343979,6.225006566975213,6.431699271665108,6.711770560695898,6.745426748161431,7.2429125536798225,7.236126273435043,7.215946850314361,7.0153782178300395,7.172641815056014,7.381011316789935,6.186125175535693,6.154828089333399,6.014075223951041,6.1578134507427755,6.028996971492645,6.129581954350218,6.119614787404376,6.214873986067709,6.348171263043177,6.355895525361466
