"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AFG","Afghanistan",34.5405268333698,34.5323184375517,34.6102915382995,34.8025200456483,34.8184786064593,34.8367461884578,35.2590620717097,35.6864486494647,36.4859086852522,36.153190975949,33.1707357636276,31.3252674102603,31.2288761483019,30.9225653581757,30.9037698093903,31.6785280777731,30.8371303327403,31.9235825017804,31.7567965336613,32.7096984714936,32.9019102685516,33.1706487253833,32.4194207206807,32.2285882311478,32.8444258217591,32.5666269936952,32.7977101324055
"ALB","Albania",44.9850550467543,44.9733566614116,44.9041801557691,44.5433792361134,44.0845880698105,44.1401116073694,44.3942047976652,44.8687124262532,44.6820092562021,45.5079748519479,45.2163705686657,44.6778087304516,45.3167554836622,46.1651841450873,47.2841639600802,47.8247294758883,47.9108680439287,48.742192232428,49.2794836043747,50.6963435046417,51.2485743829063,50.8546890687332,50.6848346938485,51.1846898354158,50.780027038358,50.6309879081593,50.7584761567724
"DZA","Algeria",45.0130347994369,45.10361577658,45.0129530514094,45.0247012342284,45.36984991589,45.6589233401,45.8457730474771,46.0059267599454,46.4588161818575,47.0789817686541,47.2148131687097,45.6817590542715,45.6923664259453,45.8626427275507,45.7807120112965,45.2825122273966,44.8867500990177,44.9602406666228,45.6807636817877,45.6015504880891,45.8628601719907,46.3483011303937,47.4130174952541,47.416750645926,47.4782850617347,47.6148272908722,47.8537008548559
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",34.7006334853989,34.6825502874806,34.6220446682127,34.56087559823,34.5926346299093,34.6204714725615,34.8961400879434,35.3850184455729,36.0429213103489,36.0995398246362,35.5504100430295,34.2299600426505,34.5962016330156,34.8862744854348,35.0744824377393,34.278290288772,34.2249402129557,35.00997073686,35.3467276351358,35.4965220235077,35.5450561396019,36.831118354673,36.8419351806688,37.2252409431462,37.4019055399106,37.5375505662324,37.9097032040266
"ATG","Antigua and Barbuda",48.4753938789584,48.5215583565195,48.6142124916426,48.6617412594188,48.6792707983759,48.8039454462414,48.9069421766883,49.1503353866185,49.3592178911037,49.4172919419623,50.0351385193949,49.2435712270178,49.416440892529,49.7867055248295,49.9805875551841,50.3796536943188,49.9420032533221,50.1806840369823,50.0937434626437,49.2517677664477,49.5133242789847,49.2763454285756,48.4483889355125,48.9590033293334,49.440783762307,49.3283877339677,49.0947949562652
"ARG","Argentina",49.7686642640407,49.8936097973649,49.6167763436924,49.4265214895727,49.464799243325,49.5748570522959,48.2274340886327,47.2602175985189,47.8429576141681,47.7367481505466,49.1171637782127,47.9656241367837,48.5207790005756,48.1198971891088,47.9841042364376,48.4220658150665,48.6158318352018,48.3563785783914,47.9440908593185,47.5292320514009,47.7640672096405,49.5054769866208,49.648430773348,49.7806983190356,49.7589891276937,49.9318756330548,49.6175841400304
"ARM","Armenia",48.4363787159418,48.7174148356537,48.2341111740557,48.7436520786913,49.2130271895567,49.4071635341605,49.6052567261132,51.3726623686068,52.1141959298285,51.4103320403178,52.2800227051693,51.6010330658709,51.8891385141273,53.2653856007967,53.0350994325683,53.4494932527158,52.9932520425241,53.3953684274644,54.2087019229315,55.0639637722271,55.4583013855953,55.9218272557409,55.986501095481,56.6240900733575,57.1327456532886,56.8005555069064,56.8809619867614
"AUS","Australia",63.4797707352991,63.6772110389567,63.7382241633171,63.9211264409853,64.2533823463632,64.658451592811,64.9814900997336,65.0810637093873,65.3523691832368,65.8386961034396,66.0704248424039,68.2764955071242,68.6379191544809,69.082116296086,68.622154233053,69.0042022082189,69.2036709501724,69.331458127172,69.9216033651437,70.0364386813956,69.9086996962162,69.9174729637082,69.2756278244886,69.5662725839916,69.5082299698264,68.8213717315826,68.9109499593599
"AUT","Austria",65.1902860881783,65.4422423149125,65.5913177247536,65.5932812291753,65.9274757793604,66.1672427993691,66.5747802550574,66.8519383588558,66.717122323743,67.0375670307311,67.5122033457598,69.0130416533292,69.6686388246213,69.5544074533393,68.7165011099792,69.1615829046013,69.14880757785,69.5582205009749,70.1897525521574,70.735386946294,70.8082962583245,70.0850401833235,70.3333229754639,70.372563987948,69.955487203306,69.939362424389,69.7126070382709
