ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type
TLS,Timor-Leste,2013,Babulu gale,2013-01-17,5,5,Weather related,Storm,Storm
TZA,Tanzania,2014,Arusha flood,2014-03-15,1000,1000,Weather related,Flood,Flood
COL,Colombia,2015,Gameza flood,2015-06-25,4,4,Weather related,Flood,Flood
CUB,Cuba,2015,Baracoa flood,2015-05-02,2000,2000,Weather related,Flood,Flood
BGD,Bangladesh,2008,Bangladesh: Flood - 01/07/2008,2008-07-01,2200,2250,Weather related,Flood,Flood
BGD,Bangladesh,2008,Bangladesh: Flood - 30/08/2008,2008-08-30,57000,57440,Weather related,Flood,Flood
GTM,Guatemala,2008,Guatemala: Flood - 22/10/2008,2008-10-22,11000,10764,Weather related,Flood,Flood
HND,Honduras,2008,Honduras: Flood - 12/12/2008,2008-12-12,250,250,Weather related,Flood,Flood
HND,Honduras,2008,Honduras: Flood - 19/10/2008,2008-10-19,70000,70000,Weather related,Flood,Flood
HTI,Haiti,2008,Haiti: Storm - 09/02/2008,2008-02-09,20,20,Weather related,Storm,Storm
HTI,Haiti,2008,Haiti: Storm - 26/08/2008,2008-08-26,10000,10500,Weather related,Storm,Storm
HTI,Haiti,2008,Haiti: Storm - 18/08/2008,2008-08-18,17000,16850,Weather related,Storm,Storm
AFG,Afghanistan,2008,Afghanistan: Flood - 01/08/2008,2008-08-01,180,180,Weather related,Flood,Flood
AFG,Afghanistan,2008,Afghanistan: Earthquake - 17/04/2008,2008-04-17,3200,3250,Geophysical,Earthquake,Earthquake
ARG,Argentina,2008,Argentina: Flood - 28/01/2008,2008-01-28,640,635,Weather related,Flood,Flood
ATG,Antigua and Barbuda,2008,Antigua and Barbuda: Storm - 15/10/2008,2008-10-15,45,45,Weather related,Storm,Storm
AUS,Australia,2008,Australia: Storm - 16/11/2008,2008-11-16,1000,1000,Weather related,Storm,Storm
BDI,Burundi,2008,Burundi: Flood - 20/09/2008,2008-09-20,2800,2770,Weather related,Flood,Flood
BEN,Benin,2008,Benin: Flood - 01/07/2008,2008-07-01,150000,150000,Weather related,Flood,Flood
BFA,Burkina Faso,2008,Burkina Faso: Flood - 01/08/2008,2008-08-01,28000,28000,Weather related,Flood,Flood
BGD,Bangladesh,2008,Bangladesh: Landslide/Wet mass movement - 16/08/2008,2008-08-16,1700,1657,Weather related,Mass Movement,Landslide/Wet mass movement
BHS,"Bahamas, The",2008,Bahamas: Storm - 09/07/2008,2008-07-09,500,500,Weather related,Storm,Storm
BLZ,Belize,2008,Belize: Flood - 19/10/2008,2008-10-19,400,400,Weather related,Flood,Flood
BRA,Brazil,2008,Brazil: Flood - 02/02/2008,2008-02-02,1400,1435,Weather related,Flood,Flood
BRA,Brazil,2008,Brazil: Flood - 01/12/2008,2008-12-01,14000,14293,Weather related,Flood,Flood
BRA,Brazil,2008,Brazil: Storm - 05/06/2008,2008-06-05,25000,25000,Weather related,Storm,Storm
BRA,Brazil,2008,Brazil: Flood - 22/11/2008,2008-11-22,79000,78707,Weather related,Flood,Flood
BRA,Brazil,2008,Brazil: Flood - 30/03/2008,2008-03-30,190000,190000,Weather related,Flood,Flood
CAF,Central African Republic,2008,Central African Republic: Flood - 01/07/2008,2008-07-01,14000,14000,Weather related,Flood,Flood
CAN,Canada,2008,Canada: Flood - 04/10/2008,2008-10-04,200,200,Weather related,Flood,Flood
CAN,Canada,2008,Canada: Flood - 26/04/2008,2008-04-26,1800,1830,Weather related,Flood,Flood
