"ISO3","Name","Value","sign"
"AFG","Afghanistan",-0.00186997997777689,0
"ALB","Albania",-0.00122261231355437,0
"DZA","Algeria",0.00511242089181613,1
"AND","Andorra",0.0195408715245595,1
"AGO","Angola",0.00567650714300409,1
"ATG","Antigua and Barbuda",-0.000187564669069194,0
"ARG","Argentina",0.000762979805546091,0
"ARM","Armenia",0.00404907259072561,1
"AUS","Australia",-0.00405508293981415,-1
"AUT","Austria",-0.00267595566632527,-1
"AZE","Azerbaijan",0.00264983199926017,0
"BHS","Bahamas",-0.00200728477524761,-1
"BHR","Bahrain",0.00983851486823399,1
"BGD","Bangladesh",0.0026179641347204,1
"BRB","Barbados",0.00484601832953633,1
"BLR","Belarus",-0.000475746082197689,0
"BEL","Belgium",-0.000574093243300126,0
"BLZ","Belize",0.00126439336399442,0
"BEN","Benin",0.00474560312286309,1
"BTN","Bhutan",0.00268857019386164,0
"BOL","Bolivia, Plurinational State of",0.000679044907850454,0
"BIH","Bosnia and Herzegovina",-0.0027758995816748,-1
"BWA","Botswana",0.000201659057043343,0
"BRA","Brazil",0.000527517315818634,0
"BRN","Brunei Darussalam",0.00762207248428047,1
"BGR","Bulgaria",-4.68848017475091e-06,0
"BFA","Burkina Faso",-0.00285859737693678,-1
"BDI","Burundi",-0.000346115705966853,0
"KHM","Cambodia",-0.000826547829157508,0
"CMR","Cameroon",-0.000430529218988858,0
"CAN","Canada",-0.00375657622477419,-1
"CPV","Cape Verde",0.00223327260657604,1
"CAF","Central African Republic",-0.00129469234695091,0
"TCD","Chad",0.00141239072470641,1
"CHL","Chile",-0.00203886867590105,-1
"CHN","China",0.024662085398959,1
"COL","Colombia",-0.00131646500085536,-1
"COM","Comoros",-0.00440922137512933,-1
"COG","Congo",-0.00279169550997691,0
"COD","Congo, the Democratic Republic o",0.00104859805354612,0
"CRI","Costa Rica",0.000104690789946079,0
"CIV","Cote d'Ivoire",0.00507863596086276,1
"HRV","Croatia",-7.92528483766026e-05,0
"CUB","Cuba",0.00466098973103369,1
"CYP","Cyprus",0.00183169886076275,0
"CZE","Czech Republic",-3.63397651471106e-05,0
"DNK","Denmark",0.000870778719838519,0
"DJI","Djibouti",0.00397931609553791,0
"DMA","Dominica",-0.003676777826695,0
"DOM","Dominican Republic",0.00158656308878499,0
"ECU","Ecuador",0.00261571179449928,1
"EGY","Egypt",0.0044259754819659,1
"SLV","El Salvador",0.001168082199474,0
"GNQ","Equatorial Guinea",0.000729049662086269,0
"ERI","Eritrea",0.00129544575004821,1
"EST","Estonia",0.000452331151390621,0
"ETH","Ethiopia",-0.000513831779567823,0
"FJI","Fiji",0.00299800727965296,0
"FIN","Finland",0.000211507880814386,0
"FRA","France",0.000128703728704214,0
"GAB","Gabon",-0.000646610326373595,0
"GMB","Gambia",0.00507919962161292,1
"GEO","Georgia",0.00356882332368884,1
"DEU","Germany",-0.0019119894306629,-1
"GHA","Ghana",-0.000137535463941215,0
"GRC","Greece",0.00647621652623183,1
"GRD","Grenada",0.000682584151107248,0
"GTM","Guatemala",-0.00126473676171977,0
"GIN","Guinea",0.000789084804975649,0
"GNB","Guinea-Bissau",0.00145512920112974,0
"GUY","Guyana",0.000648155650708562,0
"HTI","Haiti",-0.00337551151851071,-1
"HND","Honduras",-0.00251837346373945,-1
"HUN","Hungary",-0.000338675969879993,0
"ISL","Iceland",0.000653667060054011,0
"IND","India",0.0145769576097421,1
"IDN","Indonesia",0.00679372226322078,1
"IRN","Iran, Islamic Republic of",-0.0127671099673764,-1
"IRQ","Iraq",0.00139115961972411,0
"IRL","Ireland",-0.00378073830424041,-1
"ISR","Israel",0.00175379701037518,0
"ITA","Italy",0.00445298933014893,1
"JAM","Jamaica",0.00402775997663659,1
"JPN","Japan",-0.000576838595646706,0
"JOR","Jordan",-0.00014665694962788,0
"KAZ","Kazakhstan",0.00510345128417365,1
"KEN","Kenya",0.00467299075347214,1
"KIR","Kiribati",0.0033345975732706,1
"PRK","Korea, Democratic People's Repub",0.00040591788273769,0
"KOR","Korea, Republic of",0.00255361189479784,1
"KWT","Kuwait",0.0138651951332761,1
"KGZ","Kyrgyzstan",0.00139483831645447,1
"LAO","Lao People's Democratic Republic",0.00457825757122757,1
"LVA","Latvia",0.00167596064392389,0
"LBN","Lebanon",-0.00727624412699776,-1
"LSO","Lesotho",-0.00346521095968371,-1
"LBR","Liberia",-0.00280120745478904,0
"LBY","Libyan Arab Jamahiriya",-0.00200759407879871,0
"LIE","Liechtenstein",0.00169116608219983,0
"LTU","Lithuania",0.00407935353262578,1
"LUX","Luxembourg",-0.00399907806588169,-1
"MKD","Macedonia",0.00100243854504458,0
"MDG","Madagascar",0.00019353401578437,0
"MWI","Malawi",0.00333770642385246,0
"MYS","Malaysia",0.00203305568998754,0
"MDV","Maldives",0.00517652194824396,1
"MLI","Mali",-0.00383888973548419,-1
"MLT","Malta",0.000414778542072961,0
"MHL","Marshall Islands",5.45571551834365e-05,0
"MRT","Mauritania",0.00206485411626117,0
"MUS","Mauritius",0.0099404764353933,1
"MEX","Mexico",-0.00221234067233254,-1
"FSM","Micronesia, Federated States of",0.000478557472067032,0
"MDA","Moldova, Republic of",0.00554457532802237,1
"MCO","Monaco",-0.0100828380098828,0
"MNG","Mongolia",0.00211496499531478,1
"MNE","Montenegro",0.0023144058505926,0
"MAR","Morocco",0.00433608393556837,1
"MOZ","Mozambique",0.000534317531757722,0
"MMR","Myanmar",-0.000515517446244433,0
"NAM","Namibia",-0.00107994271676385,0
"NRU","Nauru",0.0139105277990401,1
"NPL","Nepal",0.00083839378142189,0
"NLD","Netherlands",-0.00191933389533683,-1
"NZL","New Zealand",-0.0230738631347018,-1
"NIC","Nicaragua",-0.00737212691332625,-1
"NER","Niger",0.00791147877412384,1
"NGA","Nigeria",0.00571684917869278,1
"NOR","Norway",-0.00654709456696177,-1
"OMN","Oman",0.00288204575234875,0
"PAK","Pakistan",0.00770601615558901,1
"PLW","Palau",-0.000577374737069524,0
"PAN","Panama",-0.00458839573508641,-1
"PNG","Papua New Guinea",-0.00106103879157065,0
"PRY","Paraguay",-0.00104232528624182,0
"PER","Peru",-0.00170380996227855,0
"PHL","Philippines",0.0018290744963992,0
"POL","Poland",-0.00386071591928579,-1
"PRT","Portugal",-0.000186754868810244,0
"QAT","Qatar",0.00921967005788106,1
"ROU","Romania",0.00127127257348931,0
"RUS","Russian Federation",0.00479459223144439,1
"RWA","Rwanda",0.00495320991819945,1
"KNA","Saint Kitts and Nevis",-0.00123347443614697,0
"LCA","Saint Lucia",-0.0031058142516598,-1
"VCT","Saint Vincent and the Grenadines",0.00274951800550079,1
"WSM","Samoa",0.00159573680687774,0
"SMR","San Marino",0.00240871516215103,0
"STP","Sao Tome and Principe",0.00133735841496952,0
"SAU","Saudi Arabia",0.0101351258311846,1
"SEN","Senegal",0.00386668373496279,1
"SRB","Serbia",0.00400274593486632,0
"SYC","Seychelles",0.00563806767975577,1
"SLE","Sierra Leone",0.000224447432987226,0
"SGP","Singapore",0.00268767549353099,1
"SVK","Slovakia",0.00202361807215903,1
"SVN","Slovenia",-0.00316933861587726,-1
"SLB","Solomon Islands",-0.00117469227858137,0
"SOM","Somalia",-0.00107632001272355,0
"ZAF","South Africa",-0.00478844448830568,-1
"ESP","Spain",-0.000775564135896068,0
"LKA","Sri Lanka",0.00304622269242829,1
"SDN","Sudan",0.00034164003375421,0
"SUR","Suriname",0.000217010172533437,0
"SWZ","Swaziland",-0.0021733631566387,0
"SWE","Sweden",-0.00349534441126408,-1
"CHE","Switzerland",-0.0034927901665798,-1
"SYR","Syrian Arab Republic",-0.00383447561491839,0
"TJK","Tajikistan",0.00288068531122947,1
"TZA","Tanzania, United Republic of",-0.000404256053112016,0
"THA","Thailand",0.00856148558562322,1
"TLS","Timor-Leste",-0.00465106012370103,-1
"TGO","Togo",0.0102081365166703,1
"TON","Tonga",0.00247942836932776,1
"TTO","Trinidad and Tobago",-0.0026961258194827,-1
"TUN","Tunisia",0.00418725297122758,1
"TUR","Turkey",0.0090575608890295,1
"TKM","Turkmenistan",0.000627955977777906,0
"TUV","Tuvalu",0.0104553521396167,1
"UGA","Uganda",-0.00292038893525353,-1
"UKR","Ukraine",0.00476212045123728,1
"ARE","United Arab Emirates",0.00276347630571413,1
"GBR","United Kingdom",-0.00408232816765025,-1
"USA","United States",-0.00525138825591993,-1
"URY","Uruguay",0.00356046470881322,1
"UZB","Uzbekistan",0.0151293400324153,1
"VUT","Vanuatu",0.00233832183153612,0
"VEN","Venezuela, Bolivarian Republic o",-0.00547870492705474,-1
"VNM","Viet Nam",0.00581947729623283,1
"YEM","Yemen",-0.00261258980573468,-1
"ZMB","Zambia",-0.00301936566972302,-1
"ZWE","Zimbabwe",0.00137142778972007,0
